NAME|TYPE|START_YEAR|END_YEAR|DESCRIPTION
Liberty Head|Half Eagle|1839|1908|In 1839 the coin was redesigned again. The new obverse was designed by Christian Gobrecht and is known as the \"Libery Head or Coronet head\". The reverse design remained largely the same, although the value was changed from \"5 D!!\" to \"Five D!!\". For those struck at the Philidephia Mint, there was no longer any silver in the coin, its composition was now !!900 gold and !!100 copper. However, gold ore used at the southern branch mints of Charlotte and Dahlonega had a high natural silver content, and many of these coins contained up to five percent silver. Its weight was virtually the same, 8!!359 grams, but the diameter was reduced one final time, to 21!!6 mm, in 1840, for a gold content of 0!!242 Troy Oz. This design was used for nearly 70 years, from 1839 to 1908, with a modest change in 1866, when \"In God We Trust\" was placed on the reverse above the eagle. It holds the distinction of being the only coin of a single design to be minted at seven U!!S!! Mints: Philadelphia, Dahlonega, Charlotte, New Orleans, San Francisco, Carson City, and Denver.

Indian Head|Half Eagle|1908|1929|This type conforms in design to the quarter eagle of the same date. The sunken-relief designs and lettering make the Indian Head a unique series, along with the quarter eagle, in United States coinage.


Stella|Four-Dollar Gold Piece|1879|1880|These pattern coins were first suggested by the Hon!! John A!! Kasson, then U!!S!! envoy extraordinary and minister plenipotentiary to Austria-Hungary. It was through the efforts of Dr!! W!!W!! Hubbell, who patented the alloy goloid (used in making another pattern piece, the goloid metric dollar) that we have these beautiful and interesting coins.^^^^The $4 Stella--so called because of the five-pointed star on the reverse--was envisioned by Kasson as America's answer to various foreign gold coins popular in the international market. The British sovereign, Italy's 20 lire, and the 20 pesetas of Spain were three such coins: each smaller than a U!!S!! $5 gold piece, they were used widely in international trade.^^^^The Stella was one of many proposals made to Congress for an international trade coin, and one of only several that made it to pattern coin form (others include the 1868 $5 and 1874 Bickford $10).^^^^Odds were stacked against the Stella from the start. The denomination of four U!!S!! dollars didn't match any of the coin's European counterparts, and at any rate the U!!S!! double eagle ($20 coin)--already used in international commerce--was a more convenient medium of exchange. The Stella was never minted in quantities for circulation.^^^^There are two distinct types in both years of issue. Charles E!! Barber designed the Flowing Hair type, and George T!! Morgan the Coiled Hair. They were struck  as patterns in gold, aluminum, copper, and white metal. Only those struck in gold are listed.


Three-Dollar Gold Piece|Three-Dollar Gold Piece|1854|1889|The three-dollar gold piece was authorized by the Act of February 21, 1853. Coinage was struck beginning in 1854. It was never popular and saw very little circulation.


Capped Bust To Right|Quarter Eagle|1796|1807|Capped Bust Quarter Eagles with stars on the obverse were the second in a long line of Quarter Eagles produced by the U!!S!! Mint. They were made from 1796 to 1807 with the highest mintage being 6,812 pieces in 1807. These rare gold coins were also designed by Chief Engraver Robert Scot.^^^^The obverse design is of Liberty facing right; she is wearing a soft cap with the inscription \"LIBERTY\" above, and the date below. The cap was long thought to be a Phrygian cap, taken from an ancient Roman model. However, even the Mint^^^^Director at the time Samuel Moore identified this cap in 1825 as a fashionable headdress of the 1790s. This series has many die changes. These coins have from 13 to 16 stars on the obverse. They also range in the number of stars from left to right on the obverse.^^^^The reverse of these gold coins shows a Heraldic Eagle with wings spread. A line of clouds stretch from wing to wing with 13 to 16 stars below. The designer Robert Scot superimposed a shield for the eagle’s breast and sketched the eagle holding arrows in one of its talons and an olive branch in the other.^^^^The inscription \"UNITED STATES OF AMERICA\" encircles the entire design.^^^^Another interesting fact with regard to these Quarter Eagles is that the dies used to make the coins were also used to produce early dimes of this design as well. 

Capped Bust To Left - Large Size|Quarter Eagle|1808|1808|In 1808 John Reich redesigned the quarter eagle. The diameter remained the same as earlier, but the obverse and reverse motifs were changed.^^^^Miss Liberty now faces left, wearing a loose cloth cap secured by a band inscribed LIBERTY. Seven stars are to the left and six are to the right, and the date 1808 appears below. No stars appear above her head.^^^^The reverse depicts an eagle perched on an olive branch and holding three arrows. The motto E PLURIBUS UNUM is on a band or ribbon above. The inscription UNITED STATES OF AMERICA and 21/2 D is around the border. The denomination is stated for the first time on a quarter eagle.^^^^The mintage figure of 2,710 on its own would suggest a rarity, but the demand for the coin as the only year of its design type has projected it into the forefront of popular rarities among American gold coins. It is believed that perhaps three or four dozen exist, nearly all of which are in the grades of Very Fine or Extremely Fine, although at least two Uncirculated coins can be accounted for.^^^^The 1808 quarter eagle is among classic rarities in American numismatics, and deservedly so. 

Capped Bust To Left|Quarter Eagle|1821|1834|Those dated 1829 to 1834 are smaller in diameter than the 1821 to 1827 pieces.

Classic Head - No Motto On Reverse|Quarter Eagle|1834|1839|In 1834, the quarter eagle was redesigned. A ribbon binding the hair, bearing the word LIBERTY, replaced the Liberty cap. The motto was omitted from the reverse.

Liberty Head|Quarter Eagle|1840|1907|Beginning in 1834, the Mint began a search for a suitable design that could serve as an enduring symbol on American gold coins. In that year Engraver William Kneass executed a head of Liberty for quarter eagles and half eagles that became known as the Classic design. But this design, although modified several times, was not to last, as it was adapted from John Reich’s old Classic Head motif first used on large cents in 1808 and officials continued to press for a symbol of Liberty more befitting the growing Republic. By 1838, Christian Gobrecht’s Coronet design for the eagle took center stage, and a version of this—in keeping with the Mint’s penchant for uniformity—was used on the quarter eagle starting in 1840.^^^^The design as finally adopted featured a large head of Liberty facing left, wearing a wide coronet inscribed with the word LIBERTY. Her hair is pulled back in a bun and held in place by a string of pearls. Thirteen stars are placed around the periphery, representing the original colonies, with the date below. The eagle on the reverse was essentially the same one that had been on quarter eagles since 1808. Originally designed by John Reich, the 1840-1907 version was modified by Gobrecht. The heraldic eagle has its wings spread from rim to rim with the union shield covering its breast. An olive branch representing the country’s peaceful intentions is in the eagle’s right claw, with three arrows emphasizing military preparedness in the left. The legend UNITED STATES OF AMERICA surrounds the eagle, with the denomination 2 1/2 D!! beneath the bird.^^^^ Between 1840 and 1907, a total of 11,921,171 Coronet quarter eagles were struck at five mints: Philadelphia (no mintmark), Charlotte (C), Dahlonega (D), New Orleans (O), and San Francisco (S). Mintmarks can be found on the lower reverse beneath the eagle. An estimated 4,232 proofs were also coined. The early (pre-1860) proofs are very rare, with only two or three pieces surviving from many years. Often, proofs have frosted white devices that contrast sharply against deeply mirrored fields. These \"cameo\" proofs are very popular as type pieces. Most of the proofs struck after 1901 have an all-brilliant finish with no field to device contrast. This brilliant finish continued until the end of the series in 1907, when Bela Pratt’s sunken relief Indian Head design debuted, and the matte proofing process was adopted.^^^^The series contains many individual rarities, some of legendary status, and a large number of scarce issues. Its exceptional length—remaining unchanged for 68 years, unlike the larger denominations that received the motto in 1866—makes it a very difficult series to complete. Although most collectors seek a single high grade example for type sets, others expand their horizons to include one coin from each mint, but even that is challenging. Charlotte and Dahlonega quarter eagles are particularly rare and expensive in mint condition, and these pieces are the keys to a collection from the five mints. San Francisco and New Orleans issues are also very scarce in AU and mint state, but generally undervalued compared to other mintmarked gold coins with similar mintages and survival rates. The most commonly found Coronet quarter eagles in mint state however, are the Philadelphia issues from 1851 through 1853, 1861, 1873, 1878 and after 1886. Philadelphia does have its rarities though: Civil War issues and the dates from 1874 through 1877, when specie payments were still suspended, are quite elusive. Some low mintage dates like the 1881 and 1885 exist today in larger numbers than their mintage would suggest: fortunately, many were recovered from European hoards.^^^^The series is replete with important coins, but none more famous and historically significant than the 1848 CAL!! quarter eagle. Made from some 230 ounces of native California ore shipped eastward in 1848, the resulting 1,389 quarter eagles are distinguished by the abbreviation CAL!! stamped into the die above the eagle’s head, and all authentic specimens have a square period after CAL!! Many collectors consider these CAL!! quarter eagles to be the first commemorative coins struck in the U!!S!!, predating the Columbian half dollar by 44 years.^^^^Also struck in the Philadelphia Mint are two other dates that have achieved fabled status, the 1841 and 1875. The 1841 has affectionately been labeled \"The Little Princess.\" Approximately fifteen examples are known and these extraordinarily rare coins have only been found in the finest and most comprehensive collections. The 1875 Philadelphia issue is another very rare date, with only 400 pieces struck and an estimated 23-25 examples surviving. Interestingly, one prominent gold collector in the Northeast has accumulated more than fifteen specimens of this key issue. Another famous rarity is the first year of issue from the San Francisco Mint, the 1854-S—one of the standout rarities in all of U!!S!! numismatics, with a scant 10 or so specimens believed to exist today in all grades. Only 246 quarter eagles were struck in that initial year, because the San Francisco Mint lacked parting acids (the same problem that plagued private minters at the time).^^^^When grading Coronet quarter eagles, friction begins to first show on the tip of the coronet and above the eye on the obverse, and on the wing tips and claws of the eagle on the reverse. Striking quality is usually quite good and should not present difficulties for most post-1878 issues, but earlier branch mint coins are especially prone to weakness on the hair curls around Liberty’s face and on the left leg of the eagle. Counterfeits are sometimes encountered, but the most frequently seen dates for bogus pieces are the common dates between 1900 and 1907. Altered mintmarks exist on certain key dates such as 1841 and 1875, but the diagnostics for the dies used to strike genuine coins are widely known: authentication is highly recommended.^^^^The unchanging durability of the Coronet design on quarter eagles is unrivaled in the history of U!!S!! coinage. This exceptionally long span of time still stands as the longest uninterrupted use of a coin design without a major design alteration, though the Roosevelt Dime may soon take this prize. When the first coins were struck in 1840, much of the United States was still a rough and tumble frontier that valued hard cider and log cabins enough to elect as their leader the coarse old Indian fighter, William Henry Harrison. As the final Coronet quarter eagles were struck in 1907, America was in many ways a different country than it had been in 1840. It retained the rugged individualism that had characterized the national spirit throughout the 19th century, but it was a more mature America, heralded not only for its powerful economic and military presence throughout the world, but for its diplomatic achievements as well—illustrated by Theodore Roosevelt’s winning of the 1906 Nobel Peace Prize for his role in negotiating an end to the Russo-Japanese War. 

CAL. Gold Quarter Eagle|Quarter Eagle|1848|1848|In 1848, about 230 ounces of gold were sent to Secretary of War William L!! Marcy by Colonel R!!B!! Mason, military governor of California. The gold was turned over to the Mint and made into quarter eagles. The distinguishing mark CAL!! was punched above the eagle on the reverse side, while the coins were in the die.

Indian Head|Quarter Eagle|1908|1929|The Indian Head Quarter Eagle is among the most affordable and collectible of all gold series. The series was introduced in 1908 and concluded in 1933. It is famous for having an incused design instead of raised as seen on the majority of coins. Although the series is now considered to be extremely artistic, there was some opposition when the coins first appeared in circulation, replacing the Liberty quarter eagles that were put into circulation in 1840, more then a generation earlier.^^^^Early in the 20th century President Roosevelt grew increasingly tired with the current coinage in circulation, in particular the gold coinage. All gold coins in circulation, from the quarter eagle to the eagle bore the same basic design, which had been introduced in the 1830's. The larger denominations, the eagles and double eagles had new designs introduced in 1907. Most people were in agreement that the new designs for these denominations represented major artistic improvements. The next year, the smaller denominations were set to change with the same goal.^^^^Dr. William Sturgis Bigelow, a close friend of President Roosevelt, had suggested using an incuse design for the minor gold coins. Up to that point, all United States coinage had a raised design and rim, although an intaglio design was opted back in 1792. After apparently receiving a positive response from Roosevelt, Bigelow contacted Boston sculptor Bela Lyon Pratt to design the new coins. Born in 1867, Pratt attended Yale University, and after graduation, traveled to France, in particular Paris, to study under well-known French sculptors. After his return in the early 1890s his future work would be widely influenced by this period.^^^^The designs for the Indian Quarter Eagle were finalized in late June of 1908, and production started during the last few months of the year at the Philadelphia Mint. The final design was similar to the newly introduced ten dollar design, but the incuse devices made it look much different. The obverse featured an Indian male chief with a large ceremonial headdress. The word LIBERTY is above, with thirteen stars surrounding and the date below. The reverse features an eagle, perched on a bundle of arrows with an olive branch in its claws. E PLURIBUS UNUM is in the left field, and IN GOD WE TRUST is in the right field. UNITED STATES OF AMERICA is on above, and the denomination, spelled as 2 1/2 DOLLARS is below.^^^^Indian Quarter Eagles circulated extensively, making most pieces available in the Extremely Fine to About Uncirculated grades. Mint State pieces are more difficult to locate, however can be found with some searching. The series contains a single key date makes completion of the set in any condition a challenging endeavor.^^^^Grading these pieces is considered to be the most difficult of all United States coinage, due to the incuse design which do not show much wear. Key features include the eyebrow and feathers on the obverse, and the eagles shoulder on the reverse. Even most Mint State coins will feature some friction on the cheek of the Indian, which is commonly accepted by the grading companies.


Liberty Head|Gold Dollar|1849|1854|Coinage of the gold dollar was authorized by the Act of March 3, 1849. The weight was 25!!8 grains, fineness !!900. The first type, struck until 1854, is known as the Liberty Head type.^^^^In 1854, the piece was made larger in diameter and thinner. The design was changed to a feather headdress on a female, generally referred to as the Indian Princess Head type. In 1856, the type was changed slightly by enlarging the size of the head.

Indian Princess Head, Small Head|Gold Dollar|1854|1856|Coinage of the gold dollar was authorized by the Act of March 3, 1849. The weight was 25!!8 grains, fineness !!900. The first type, struck until 1854, is known as the Liberty Head type.^^^^In 1854, the piece was made larger in diameter and thinner. The design was changed to a feather headdress on a female, generally referred to as the Indian Princess Head type. In 1856, the type was changed slightly by enlarging the size of the head.

Indian Princess Head, Large Head|Gold Dollar|1856|1889|Coinage of the gold dollar was authorized by the Act of March 3, 1849. The weight was 25!!8 grains, fineness !!900. The first type, struck until 1854, is known as the Liberty Head type.^^^^In 1854, the piece was made larger in diameter and thinner. The design was changed to a feather headdress on a female, generally referred to as the Indian Princess Head type. In 1856, the type was changed slightly by enlarging the size of the head.



Flowing Hair|Silver and Related Dollar|1794|1795|The Flowing Hair dollar was the first dollar coin issued by the United States federal government. The coin was minted in 1794 and 1795; its size and weight were based on the Spanish dollar, which was popular in trade throughout the Americas.^^^^In 1791, following a study by Alexander Hamilton, Congress passed a joint resolution calling for the establishment of a national mint. Later that year, in his third State of the Union address, President George Washington urged Congress to provide for a mint, which was officially authorized by the Coinage Act of 1792. Despite the authorization, silver and gold coins were not struck until 1794. The Flowing Hair dollar, designed by Robert Scot, was initially produced in 1794, and again in 1795. In October 1795 the design was replaced by the Draped Bust dollar.^^^^In May 2005, a specimen striking from the 1794 production was sold in a private sale for $7!!85 million, more than any other coin in history.

Draped Bust|Silver and Related Dollar|1795|1804|The Draped Bust dollar is a United States dollar coin minted from 1795 to 1803, and again into the 1850s. The design succeeded the Flowing Hair dollar, which began mintage in 1794 and was the first silver dollar struck by the United States Mint. The designer is unknown, though the distinction is usually credited to artist Gilbert Stuart. The model is also unknown, though Ann Willing Bingham has been suggested.^^^^In October 1795, newly appointed Mint Director Elias Boudinot ordered that the legal fineness of !!892 (89!!2%) silver be used for the dollar rather than the unauthorized fineness of !!900 (90%) silver that had been used since the denomination was first minted in 1794. Due largely to a decrease in the amount of silver deposited at the Philadelphia Mint, coinage of silver dollars declined throughout the latter years of the 18th century. In 1804, coinage of silver dollars was halted; the last date used during regular mint production was 1803.^^^^In 1834, silver dollar production was temporarily restarted to supply a diplomatic mission to Asia with a special set of proof coins. Officials mistakenly believed that dollars had last been minted with the date 1804, prompting them to use that date rather than the date in which the coins were actually struck. A limited number of 1804 dollars were struck by the Mint in later years, and they remain rare and valuable.

Gobrecht|Silver and Related Dollar|1836|1839|The Gobrecht dollar, minted from 1836 to 1839, was the first silver dollar struck for circulation by the United States Mint since production of that denomination was officially halted in 1806. The coin was struck in small numbers to determine whether the reintroduced silver dollar would be well received by the public.^^^^In 1835, Director of the United States Mint Samuel Moore resigned his post, and Robert M!! Patterson assumed the position. Shortly after, Patterson began an attempt to redesign the nation's coinage. After Mint Chief Engraver William Kneass suffered a stroke later that year, Christian Gobrecht was hired as an engraver. On August 1, Patterson wrote a letter to Philadelphia artist Thomas Sully laying out his plans for the dollar coin. He also asked Titian Peale to create a design for the coin. Sully created an obverse design depicting a seated representation of Liberty and Peale a reverse depicting a soaring bald eagle, which were converted into coin designs by Gobrecht. After the designs were created and trials struck, production of the working dies began in September 1836.^^^^After a small quantity was struck for circulation, the Mint received complaints regarding the prominent placement of Gobrecht's name on the dollar, and the design was modified to incorporate his name in a less conspicuous position. In January 1837, the legal standard for the percentage of precious metal in silver coins was changed from 89!!2% to 90%, and the Gobrecht dollars struck after that point reflect this change. In total, 1,900 Gobrecht dollars were struck during the official production run. Production of the Seated Liberty dollar, which utilized the same obverse design as the Gobrecht dollar, began mintage in 1840. In the 1850s, Mint officials controversially re-struck the coins without authorization.

Liberty Seated|Silver and Related Dollar|1840|1873|The Seated Liberty dollar was a one-dollar coin struck by the United States Mint from 1840 to 1873 and designed by its chief engraver, Christian Gobrecht. It was the last silver coin of that denomination to be struck before passage of the Coinage Act of 1873, which temporarily ended production of the silver dollar for American commerce. The coin's obverse is based on that of the Gobrecht dollar, which had been minted experimentally from 1836 to 1839. However, the soaring eagle used on the reverse of the Gobrecht dollar was not used; instead, the United States Mint (Mint) placed a heraldic eagle, based on a design by late Mint Chief Engraver John Reich first used on coins in 1807.^^^^Seated Liberty dollars were initially struck only at the Philadelphia Mint; in 1846, production began at the New Orleans facility. In the late 1840s, the price of silver increased relative to gold because of an increase in supply of the latter caused by the California gold rush; this led to the hoarding, export, and melting of American silver coins. The Coinage Act of 1853 decreased the weight of all silver coins of five cents or higher, except for the dollar, but also required a supplemental payment from those wishing their bullion struck into dollar coins. As little silver was being presented to the Mint at the time, production remained low. In the final years of the series, there was more silver produced in the US, and mintages increased.^^^^In 1866, \"In God We Trust\" was added to the dollar following its introduction to United States coinage earlier in the decade. Seated Liberty dollar production was halted by the Coinage Act of 1873, which authorized the Trade dollar for use in foreign commerce. Representatives of silver interests were unhappy when the metal's price dropped again in the mid-1870s; they advocated the resumption of the free coinage of silver into legal tender, and after the passage of the Bland-Allison Act in 1878, production resumed with the Morgan dollar.

Trade Dollars|Silver and Related Dollar|1873|1885|The United States trade dollar is a silver (fineness of !!900 or 90%) dollar coin that was issued by the United States Mint and minted in Philadelphia, Pennsylvania, Carson City, and San Francisco from 1873 to 1885. Trade dollars intended for circulation were last produced in 1878 and proof coin production continued until 1885. The coin weighs 420 grains (2!!2 g), about 8 grains (520 mg) more than the domestic silver dollar (Seated Liberty Dollars and Morgan Dollars) of the time. It is 4 grains heavier than the Mexican peso; however, the peso is !!903 silver.^^^^The coin was designed by William Barber, the mint's chief engraver. More trade dollars were minted in San Francisco than Carson City and Philadelphia combined. San Francisco was closest both to the source of the silver as well as the ultimate destination of the coins, China. Many Trade dollars have what are called \"chop marks\" on them. Chinese merchants would stamp the coins, thus guaranteeing weight and fineness and, also, advertising their businesses.^^^^The United States Congress authorized the U!!S!! Mint to create a trade dollar to improve trade with the Orient, China in particular. Prior to that, the Mexican peso had been the primary silver coin used in trading with China. In fact, the eagle on the trade dollar's reverse looks quite similar to the peso's.^^^^Collectors are warned that recently a large number of U!!S!! Trade dollars have been forged in China made with base metal. Careful testing or purchasing from known dealers or buying sealed and certified coins may be necessary to avoid these fakes.

Morgan|Silver and Related Dollar|1878|1921|The Morgan dollar was a United States dollar coin minted from 1878 to 1904, and then again in 1921. It was the first standard silver dollar minted since production of the previous design, the Seated Liberty dollar, ceased due to the passage of the Coinage Act of 1873, which also ended the free coining of silver. The coin is named for its designer, United States Mint Assistant Engraver George T!! Morgan. Morgan's initial M is found at the truncation of the neck, at the last tress. It also appears on the reverse on the left-hand loop of the ribbon. The obverse depicts a profile portrait representing Liberty, while the reverse depicts an eagle with wings outstretched.^^^^The dollar was authorized by the Bland–Allison Act. Following the passage of the 1873 act, mining interests lobbied to restore free silver, which would require the Mint to accept all silver presented to it and return it, struck into coin. Instead, the Bland–Allison Act was passed, which required the Treasury to purchase between two and four million dollars worth of silver at market value to be coined into dollars each month. In 1890, the Bland–Allison Act was repealed by the Sherman Silver Purchase Act, which required the Treasury to purchase 4,500,000 troy ounces (140,000 kg) of silver each month, but only required further silver dollar production for one year. This act, in turn, was repealed in 1893.^^^^In 1898, Congress approved a bill that required all remaining bullion purchased under the Sherman Silver Purchase Act to be coined into silver dollars. When in 1904, those silver reserves were depleted, the Mint ceased to strike the Morgan dollar. The Pittman Act, passed in 1918, authorized the melting and recoining of millions of silver dollars. Pursuant to the act, Morgan dollars resumed mintage for one year in 1921. The design was replaced by the Peace dollar later the same year.^^^^In the early 1960s, a large quantity of uncirculated Morgan dollars was found to be available from Treasury vaults, including issues once thought rare. Individuals began purchasing large quantities of the pieces at face value, and eventually the Treasury ceased to exchange silver certificates for silver coin. Beginning in the 1970s, the Treasury conducted a sale of silver dollars minted at the Carson City Mint through the General Services Administration. In 2006, Morgan's reverse design was used on a silver dollar issued to commemorate the old San Francisco Mint building.

Peace|Silver and Related Dollar|1921|1935|The Peace dollar is a United States dollar coin minted from 1921 to 1928, and again in 1934 and 1935. Designed by Anthony de Francisci, the coin was the result of a competition to find designs emblematic of peace. Its reverse depicts a Bald Eagle at rest clutching an olive branch, with the legend \"Peace\". Anthony de Francisci's monogram is located in the field of the coin under the neck of Liberty. It was the last United States dollar coin to be struck for circulation in silver.^^^^With the passage of the Pittman Act in 1918, the United States Mint was required to strike millions of silver dollars, and began to do so in 1921, using the Morgan dollar design. Numismatists began to lobby the Mint to issue a coin that memorialized the peace following World War I; although they failed to get Congress to pass a bill requiring the redesign, they were able to persuade government officials to take action. The Peace dollar was approved by Treasury Secretary Andrew Mellon in December 1921, completing the redesign of United States coinage that had begun in 1907.^^^^The public believed the announced design, which included a broken sword, was illustrative of defeat, and the Mint hastily acted to remove the sword. The Peace dollar was first struck on December 28, 1921; just over a million were coined bearing a 1921 date. When the Pittman Act requirements were met in 1928, the mint ceased to strike the coins, but more were struck in 1934 and 1935 as a result of other legislation. In 1965, the mint struck over 300,000 Peace dollars bearing a 1964 date, but these were never issued, and all are believed to have been melted.

Eisenhower|Silver and Related Dollar|1971|1978|Honoring both President Dwight D!! Eisenhower and the first landing of man on the moon, this design is the work of Chief Engraver Frank Gasparro, whose initials are on the truncation and below the eagle. The reverse is an adaptation of the official Apollo 11 insignia.

Susan B. Anthony|Silver and Related Dollar|1979|1999|The Susan B!! Anthony dollar is a United States coin minted from 1979 to 1981, and again in 1999. It depicts women's suffrage campaigner Susan B!! Anthony on a dollar coin. It was the first circulating U!!S!! coin with the portrait of an actual woman rather than an allegorical female figure such as 'Liberty'. The reverse depicts an eagle flying above the moon (with the Earth in the background), a design adapted from the Apollo 11 mission insignia that was also present on the previously issued Eisenhower Dollar. It was one of the most unpopular coins in American history.

Sacagawea|Silver and Related Dollar|2000|2008|The design of the coin was selected in a national competition from among 120 submissions that were considered by a panel appointed by Treasury Secretary Robert Rubin. The adopted motif depicts Sacagawea, a young Native American Shoshone, as rendered by artist Glenna Goodacre. On her back she carries Jean Baptiste, her infant son. The reverse shows an eagle in flight, designed by Mint engraver Thomas D!! Rogers Sr.^^^^The composition exemplifies the spirit of Liberty, Peace, and Freedom shown by Sacagawea in her conduct as interpreter and guide to explorers Meriwether Lewis and William Clark during their famed journey westward from the great northern plains to the Pacific.^^^^These coins have a distinctive golden color and a plain edge to distinguish them from other denominations or coins of a similar size. The change in composition and appearance was mandated under the United States Dollar Coin Act of 1997.^^^^Several distinctive finishes can be identified on the Sacagawea dollars as a result of the Mint attempting to adjust the dies, blanks, strikes, or finishing to produce coins with minimal spotting and a better surface color. One group of 5,000 pieces dated 2000 with a special finish were presented to sculptor Glenna Goodacre in payment for the obverse design. Unexplained error coins made from mismatched dies (a state quarter obverse combined with a Sacagawea dollar reverse) are extremely rare.

Presidential|Silver and Related Dollar|2007|2016|Four different coins, each bearing the image of a former U!!S!! President, are issued each year in order that the presidents served. The size and composition of these coins is the same as that of the Sacagawea dollars that are also made each year. A companion series of $10 gold bullion coins honors the spouse of each president.


Flowing Hair|Half Dollar|1794|1795|The Flowing Hair Half Dollar was among the first of all silver coins to be struck at the Philadelphia Mint. The series was issued for only two years from 1794 to 1795 and survivors are scarce, particularly for the lower mintage first year of issue. The Flowing Hair design of the coin is shared by the contemporary silver dollars and half dimes, but the half dollar is considered by many to be the most affordable option to acquire an example of this historic design, which circulated in the young nation.^^^^The coins were designed by Robert Scot. The obverse of the Flowing Hair Half Dollar features the head of Liberty, facing right. Her hair is flowing back, as if in a gentle breeze, with no ornamentation or decoration. The truncation of the neck is relatively high compared to later designs. Fifteen stars, representing the number of states in the Union at the time, appear are positioned with eight to the left and seven to the right. The word \"Liberty\" appears above and the date below.^^^^The reverse of the coins carried a design that would be used on all of the silver coinage of the United States for a number of years. An American Bald Eagle is seen, perched on a cloud, with wings spread. The eagle is enclosed by a wreath, slightly open at the top and having two ribbons near the bottom. The words \"United States of America\" appear surrounding, starting to the left of the wreath near the bottom and ending on the opposite side.^^^^As every die for the Flowing Hair Half Dollar was handmade, many different varieties exist. The placement of the obverse stars, date, eagle, and lettering are all taken for the purposes of identification. Alongside later half dollar designs, this type is often collected by die variety, with large premiums paid for the scarcest varieties.

Draped Bust|Half Dollar|1796|1807|The Draped Bust Half Dollar was struck between the years 1796 and 1807 with two different reverses. When considered separately, the first reverse issued from 1796 to 1797 featuring a small eagle is considered one of the most famous types in all of American numismatics due to its rarity. The second reverse issued from 1801 to 1807 featuring the heraldic eagle is more available due to higher mintages. Virtually all dates for the series are scarce to very rare in uncirculated condition.^^^^The main objective of the early United States Mint in Philadelphia was not only to turn out an adequate supply of copper, silver, and gold coinage, but also to make them more or less similar in appearance. The design that was introduced on the various denominations in 1796 was created by Robert Scot, first Chief Engraver of the United States Mint, based on work by Gilbert Stuart. It is believed, although not proven, that the image used to design Liberty was based on a portrait of the Philadelphia woman Ann Willing Bingham. A Gilbert Stuart sketch of Bingham at age 21 is pictured below.^^^^The obverse of the Draped Bust Half Dollar features the head of Liberty, facing right. The partially visible bust is draped, hence the name given to this design in the 19th century, which continues to be used today. The word LIBERTY appears above, and the date appears below. An arrangement of stars appear behind and in front of Liberty.^^^^The half dollars issued in 1796 had either fifteen or sixteen stars. The additional star was added after Tennessee became the sixteenth state of the Union in June 1796. Interestingly, the 1797 half dollars once again featured only fifteen stars, followed by a gap in production. When the denomination resumed in 1801 only thirteen stars were used to represent the original thirteen states in the Union.^^^^The initial reverse design for Draped Bust Half Dollars features a modified reverse based on earlier work by Scot, which had previously been used for half dimes, half dollars, and silver dollars from 1794 and 1795. An American Bald Eagle is pictured at center, encircled by a wreath with the top slightly open. The eagle is seen standing on clouds, just above a ribbon which holds together both sides of the wreath. Beneath the ribbon is the fraction \"1/2\" to indicate the value of the coin. The words UNITED STATES OF AMERICA surround at the rim. This is the so-called \"small eagle\" reverse used for coins dated 1796 and 1797.^^^^The denomination was not produced again until 1801. During the hiatus, a new reverse design had been introduced the other silver denominations, which would be adopted for the half dollar as well. The reverse used from 1801 to 1807 is known as the \"heraldic eagle\" reverse. The eagle is viewed from the front with wings and claws spread. One of the eagle's talons grasp a bundle of arrows and an olive branch, while its beak hold a ribbon with the inscription E PLURIBUS UNUM. Thirteen stars and an arch of clouds appears above the eagle. The words UNITED STATES OF AMERICA encircle the image, with the denomination indicated on the edge of the coin.


Capped Bust, Lettered Edge|Half Dollar|1807|1836|John Reich designed this capped-head concept of Liberty. Reich's design of Liberty facing left was used on all U!!S!! silver denominations for the next 30 years.

Capped Bust, Reeded Edge|Half Dollar|1836|1839|On half dollars of 1838 and 1839, the mintmark appears on the obverse; on those thereafter, through 1915, it is on the reverse.

